date,open,high,low,close,volume
2016-01-04,103.13,103.67,102.485,102.87,5226833
2016-01-05,103.13,103.46,102.93,103.18,2968407
2016-01-06,104.39,104.8,103.93,104.66,8212823
2016-01-07,105.83,106.237,105.19,106.15,9614677
2016-01-08,105.48,105.8,105.04,105.66,6001522
2016-01-11,105.47,105.566,104.71,104.75,4755187
2016-01-12,104.09,104.59,103.65,104.23,4933266
2016-01-13,103.89,104.8199,103.78,104.73,5669260
2016-01-14,103.75,104.18,102.4985,103.02,8599386
2016-01-15,104.92,104.96,103.965,104.09,8288996
2016-01-19,104.06,104.45,103.65,103.995,3901563
2016-01-20,105.17,106.16,104.94,105.38,8486087
2016-01-21,104.99,105.49,104.515,105.48,4689239
2016-01-22,104.93,105.51,104.76,105.01,3722571
2016-01-25,105.76,106.09,105.6,106.07,5185393
2016-01-26,106.32,107.43,106.255,107.29,7369568
2016-01-27,106.86,107.93,106.65,107.69,6920530
2016-01-28,106.55,106.86,106.48,106.56,4925899
2016-01-29,106.61,107.0,106.26,106.95,6457589
2016-02-01,107.54,108.15,107.53,108.06,7861562
2016-02-02,107.92,108.18,107.35,108.08,5647220
2016-02-03,107.91,109.58,107.9,109.27,11331848
2016-02-04,110.45,110.7,109.92,110.56,10358856
2016-02-05,109.79,112.35,109.58,112.29,12967083
2016-02-08,113.67,114.8692,113.39,113.82,21476168
2016-02-09,114.43,114.69,113.55,113.59,12555691
2016-02-10,113.92,114.52,112.98,114.46,11594534
2016-02-11,118.59,120.84,117.77,119.07,38240244
2016-02-12,118.12,118.74,117.88,118.365,13836201
2016-02-16,116.0,116.31,114.74,114.76,11488286
2016-02-17,115.47,116.07,114.89,115.49,8952140
2016-02-18,115.3,118.595,115.29,118.3,11315747
2016-02-19,117.26,117.965,117.1,117.58,11142291
2016-02-22,115.44,116.19,115.41,115.47,7466413
2016-02-23,116.68,117.42,116.52,117.21,6655387
2016-02-24,119.0,119.86,117.35,117.59,14865177
2016-02-25,117.62,118.91,117.5401,117.91,9081514
2016-02-26,117.43,117.72,115.8637,117.105,10732094
2016-02-29,117.59,118.7,117.53,118.63,8463136
2016-03-01,118.73,119.11,117.34,117.78,11094494
