date,price,21_WK_MA
2015-01-16,199.46,N/A
2015-01-23,235.00,N/A
2015-01-30,229.07,N/A
2015-02-06,223.20,N/A
2015-02-13,236.49,N/A
2015-02-20,245.34,N/A
2015-02-27,254.42,N/A
2015-03-06,273.23,N/A
2015-03-13,284.00,N/A
2015-03-20,263.31,N/A
2015-03-27,247.81,N/A
2015-04-03,254.84,N/A
2015-04-10,236.78,N/A
2015-04-17,223.62,N/A
2015-04-24,231.51,N/A
2015-05-01,233.14,N/A
2015-05-08,244.54,N/A
2015-05-15,237.82,N/A
2015-05-22,240.45,N/A
2015-05-29,236.89,N/A
2015-06-05,224.97,N/A
2015-06-12,229.47,240.76
2015-06-19,246.33,242.19
2015-06-26,243.00,242.73
2015-07-03,256.95,243.39
2015-07-10,286.67,245.00
2015-07-17,280.58,247.39
2015-07-24,289.12,249.06
2015-07-31,285.19,250.72
2015-08-07,279.94,251.29
2015-08-14,266.17,251.09
2015-08-21,232.85,251.23
2015-08-28,231.55,250.52
2015-09-04,231.39,249.41
2015-09-11,240.90,249.15
2015-09-18,233.78,249.97
2015-09-25,235.89,250.08
2015-10-02,238.28,250.21
2015-10-09,244.35,249.91
2015-10-16,263.43,250.22
2015-10-23,278.76,251.32
2015-10-30,329.11,253.31
2015-11-06,374.09,258.27
2015-11-13,338.07,265.16
2015-11-20,322.39,269.53
2015-11-27,358.19,273.31
2015-12-04,363.98,278.13
2015-12-11,452.95,281.81
2015-12-18,463.17,290.02
2015-12-25,455.84,298.31
2016-01-01,435.66,306.43
2016-01-08,454.44,313.85
2016-01-15,357.53,322.81
2016-01-22,382.90,328.75
2016-01-29,378.68,335.96
2016-02-05,384.50,342.97
2016-02-12,382.05,349.81
2016-02-19,420.72,356.87
2016-02-26,430.85,365.67
2016-03-04,407.35,374.84
2016-03-11,419.39,382.60
2016-03-18,409.65,390.03
2016-03-25,416.41,396.26
2016-04-01,417.68,400.42
2016-04-08,419.48,402.50
2016-04-15,430.93,406.37
2016-04-22,448.41,411.54
2016-04-29,458.82,415.84
2016-05-06,462.31,420.35
2016-05-13,457.98,420.80
2016-05-20,445.65,420.55
2016-05-27,471.27,420.07
2016-06-03,571.25,421.76
2016-06-10,580.31,427.32
2016-06-17,752.26,437.93
2016-06-24,669.98,455.52
2016-07-01,678.19,469.39
2016-07-08,667.33,483.38
2016-07-15,667.48,496.96
2016-07-22,654.67,508.71
2016-07-29,657.00,519.37
2016-08-05,583.00,531.26
2016-08-12,587.74,539.05
2016-08-19,573.67,547.53
2016-08-26,579.29,555.02
2016-09-02,576.21,562.72
2016-09-09,622.07,570.18
2016-09-16,607.93,579.28
2016-09-23,602.96,586.88
2016-09-30,608.99,593.74
2016-10-07,617.98,600.73
2016-10-14,638.03,608.34
2016-10-21,630.83,617.51
2016-10-28,689.95,625.10
2016-11-04,706.32,630.76
2016-11-11,716.90,636.76
2016-11-18,748.54,635.07
2016-11-25,739.74,638.81
2016-12-02,769.25,641.74
2016-12-09,773.22,646.60
2016-12-16,780.98,651.63
2016-12-23,917.26,657.65
2016-12-30,960.81,670.04
2017-01-06,895.71,688.03
2017-01-13,831.42,702.70
2017-01-20,894.31,714.97
2017-01-27,922.63,729.97
2017-02-03,1018.00,746.47
2017-02-10,1001.99,765.32
2017-02-17,1057.30,784.09
2017-02-24,1186.91,805.72
2017-03-03,1292.86,833.24
2017-03-10,1109.01,865.38
2017-03-17,1069.57,887.81
2017-03-24,934.87,908.70
2017-03-31,1088.99,920.36
2017-04-07,1194.00,938.58
2017-04-14,1173.74,961.30
2017-04-21,1249.99,981.55
2017-04-28,1353.34,1005.85
2017-05-05,1551.30,1033.66
2017-05-12,1695.61,1070.71
2017-05-19,1976.23,1114.27
2017-05-26,2272.70,1164.69
2017-06-02,2478.99,1227.17
2017-06-09,2811.39,1302.56
2017-06-16,2480.43,1396.84
2017-06-23,2690.76,1472.37
2017-06-30,2455.19,1556.57
2017-07-07,2501.15,1625.01
2017-07-14,2217.24,1696.40
2017-07-21,2657.45,1751.63
2017-07-28,2786.07,1821.66
2017-08-04,2857.34,1892.76
2017-08-11,3656.15,1976.02
2017-08-18,4101.72,2099.19
2017-08-25,4360.00,2249.99
2017-09-01,4947.99,2405.75
2017-09-08,4350.00,2584.51
2017-09-15,3740.02,2735.76
2017-09-22,3619.01,2854.34
2017-09-29,4156.99,2962.23
2017-10-06,4362.99,3086.31
2017-10-13,5624.80,3213.32
2017-10-20,5989.10,3387.07
2017-10-27,5780.00,3564.04
2017-11-03,7170.01,3721.23
2017-11-10,6577.62,3928.78
2017-11-17,7714.71,4123.89
2017-11-24,8215.01,4363.12
2017-12-01,10869.84,4637.40
2017-12-08,16367.03,5035.91
2017-12-15,17738.67,5709.71
2017-12-22,14210.57,6427.86
2017-12-29,14565.05,6971.88
2018-01-05,16960.01,7529.39
2018-01-12,13820.00,8162.91
2018-01-19,11498.99,8625.69
2018-01-26,11086.89,8965.64
2018-02-02,8787.52,9257.97
2018-02-09,8671.01,9469.28
2018-02-16,10167.49,9704.09
2018-02-23,10144.99,10015.92
2018-03-02,11000.00,10301.06
2018-03-09,9255.00,10617.11
2018-03-16,8275.00,10789.98
2018-03-23,8927.10,10898.83
2018-03-30,6848.01,11048.69
2018-04-06,6619.01,11033.36
2018-04-13,7893.19,11035.33
2018-04-20,8866.27,11043.83
2018-04-27,8922.55,11074.84
2018-05-04,9685.00,10982.11
2018-05-11,8403.33,10663.92
2018-05-18,8238.51,10219.38
2018-05-25,7459.11,9935.00
2018-06-01,7514.32,9596.62
2018-06-08,7618.83,9146.82
2018-06-15,6391.22,8851.53
2018-06-22,6059.82,8608.30
